,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
72,6,10,10,1,0,60.00,4,lbw,2,v West Indies,Providence,5 Jun 2016
73,8,16,10,0,0,80.00,4,lbw,2,v South Africa,Providence,7 Jun 2016
74,52*,66,49,5,1,106.12,4,not out,1,v South Africa,Basseterre,11 Jun 2016
75,74,135,95,5,2,77.89,3,caught,1,v West Indies,Basseterre,13 Jun 2016
76,TDNB,-,-,-,-,-,-,-,-,v South Africa,Bridgetown,19 Jun 2016
77,78,145,107,5,0,72.89,3,run out,2,v West Indies,Bridgetown,21 Jun 2016
78,46,106,59,4,0,77.96,3,caught,1,v West Indies,Bridgetown,26 Jun 2016
79,58,124,92,5,0,63.04,3,caught,2,v Sri Lanka,Colombo (RPS),21 Aug 2016
80,30,34,33,5,0,90.90,3,caught,2,v Sri Lanka,Colombo (RPS),24 Aug 2016
81,59*,87,74,6,1,79.72,3,not out,2,v Ireland,Benoni,27 Sep 2016
82,8,21,11,2,0,72.72,3,lbw,1,v South Africa,Centurion,30 Sep 2016
83,14,21,12,2,0,116.66,3,caught,2,v South Africa,Johannesburg,2 Oct 2016
84,108,136,107,9,1,100.93,3,bowled,1,v South Africa,Durban,5 Oct 2016
85,21,61,36,2,0,58.33,3,lbw,1,v South Africa,Port Elizabeth,9 Oct 2016
86,0,2,2,0,0,0.00,3,bowled,2,v South Africa,Cape Town,12 Oct 2016
87,164,206,157,14,4,104.45,3,caught,1,v New Zealand,Sydney,4 Dec 2016
88,72,112,76,6,1,94.73,3,caught,1,v New Zealand,Canberra,6 Dec 2016
89,0,10,7,0,0,0.00,3,caught,1,v New Zealand,Melbourne,9 Dec 2016
90,0,1,1,0,0,0.00,3,caught,1,v Pakistan,Brisbane,13 Jan 2017
91,60,155,101,2,0,59.40,3,bowled,1,v Pakistan,Melbourne,15 Jan 2017
92,108*,157,104,11,1,103.84,3,not out,2,v Pakistan,Perth,19 Jan 2017
93,49,83,48,5,0,102.08,3,lbw,1,v Pakistan,Sydney,22 Jan 2017
94,4,3,2,1,0,200.00,3,caught,1,v Pakistan,Adelaide,26 Jan 2017
95,8*,18,6,2,0,133.33,3,not out,2,v New Zealand,Birmingham,2 Jun 2017
96,22*,37,25,1,0,88.00,3,not out,2,v Bangladesh,The Oval,5 Jun 2017
97,56,104,77,5,0,72.72,3,caught,1,v England,Birmingham,10 Jun 2017
98,1,8,5,0,0,20.00,3,caught,2,v India,Chennai,17 Sep 2017
99,59,118,76,8,0,77.63,3,caught,2,v India,Kolkata,21 Sep 2017
100,63,111,71,5,0,88.73,3,caught,1,v India,Indore,24 Sep 2017
101,3,5,5,0,0,60.00,4,caught,1,v India,Bengaluru,28 Sep 2017
102,16,31,25,1,0,64.00,3,lbw,1,v India,Nagpur,1 Oct 2017
103,23,41,18,3,0,127.77,3,caught,1,v England,Melbourne,14 Jan 2018
104,18,-,25,0,1,72.00,3,lbw,1,v England,Brisbane,19 Jan 2018
105,45,-,66,1,0,68.18,4,caught,2,v England,Sydney,21 Jan 2018
106,4,-,16,0,0,25.00,4,caught,2,v England,Adelaide,26 Jan 2018
107,12,-,23,0,0,52.17,4,stumped,2,v England,Perth,28 Jan 2018
108,18,36,27,1,0,66.66,4,caught,2,v Afghanistan,Bristol,1 Jun 2019
109,73,178,103,7,0,70.87,4,caught,1,v West Indies,Nottingham,6 Jun 2019
110,69,115,70,5,1,98.57,3,lbw,2,v India,The Oval,9 Jun 2019
111,10,28,13,1,0,76.92,3,caught,1,v Pakistan,Taunton,12 Jun 2019
112,73,90,59,7,1,123.72,4,bowled,1,v Sri Lanka,The Oval,15 Jun 2019
