,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
102,43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,23 Jun 2013
103,11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,30 Jun 2013
104,2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston,2 Jul 2013
105,102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,5 Jul 2013
106,31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,9 Jul 2013
107,2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain,11 Jul 2013
108,115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,24 Jul 2013
109,14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,26 Jul 2013
110,68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,28 Jul 2013
111,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,1 Aug 2013
112,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,3 Aug 2013
113,61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,13 Oct 2013
114,100*,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur,16 Oct 2013
115,68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,19 Oct 2013
116,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi,23 Oct 2013
117,115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,30 Oct 2013
118,0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru,2 Nov 2013
119,86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,21 Nov 2013
120,99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam,24 Nov 2013
121,19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,27 Nov 2013
122,31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,5 Dec 2013
123,0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban,8 Dec 2013
124,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013
125,123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,19 Jan 2014
126,78,88,65,7,2,120.00,3,caught,2,v New Zealand,Hamilton,22 Jan 2014
127,6,27,20,1,0,30.00,3,caught,2,v New Zealand,Auckland,25 Jan 2014
128,2,14,10,0,0,20.00,2,caught,1,v New Zealand,Hamilton,28 Jan 2014
