,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
112,1,-,3,0,0,33.33,4,caught,2,v Australia,Manchester,24 Jun 2018
113,3,-,6,0,0,50.00,3,lbw,1,v India,Nottingham,12 Jul 2018
114,113*,-,116,8,1,97.41,3,not out,1,v India,Lord's,14 Jul 2018
115,100*,155,120,10,0,83.33,3,not out,2,v India,Leeds,17 Jul 2018
116,25*,-,28,4,0,89.28,3,not out,1,v Sri Lanka,Dambulla,10 Oct 2018
117,71,116,83,6,0,85.54,3,caught,1,v Sri Lanka,Dambulla,13 Oct 2018
118,8,-,10,1,0,80.00,3,bowled,2,v Sri Lanka,Pallekele,17 Oct 2018
119,32*,-,57,0,0,56.14,3,not out,2,v Sri Lanka,Pallekele,20 Oct 2018
120,10,-,16,0,0,62.50,3,caught,2,v Sri Lanka,Colombo (RPS),23 Oct 2018
121,102,167,97,9,0,105.15,3,caught,2,v West Indies,Bridgetown,20 Feb 2019
122,36,58,40,6,0,90.00,3,caught,2,v West Indies,Bridgetown,22 Feb 2019
123,TDNB,-,-,-,-,-,-,-,-,v West Indies,St George's,25 Feb 2019
124,5,-,10,0,0,50.00,3,caught,1,v West Indies,St George's,27 Feb 2019
125,1,-,2,0,0,50.00,3,caught,1,v West Indies,Gros Islet,2 Mar 2019
126,7,8,6,1,0,116.66,3,lbw,2,v Ireland,Dublin (Malahide),3 May 2019
127,TDNB,-,-,-,-,-,-,-,-,v Pakistan,The Oval,8 May 2019
128,40,69,54,3,0,74.07,3,caught,1,v Pakistan,Southampton,11 May 2019
129,43,79,36,4,1,119.44,3,caught,2,v Pakistan,Bristol,14 May 2019
130,36,68,41,3,0,87.80,3,caught,2,v Pakistan,Nottingham,17 May 2019
131,84,112,73,9,0,115.06,3,caught,1,v Pakistan,Leeds,19 May 2019
132,51,83,59,5,0,86.44,3,caught,1,v South Africa,The Oval,30 May 2019
133,107,168,104,10,1,102.88,3,caught,2,v Pakistan,Nottingham,3 Jun 2019
134,21,54,29,1,0,72.41,3,bowled,1,v Bangladesh,Cardiff,8 Jun 2019
135,100*,164,94,11,0,106.38,2,not out,2,v West Indies,Southampton,14 Jun 2019
136,88,155,82,5,1,107.31,3,caught,1,v Afghanistan,Manchester,18 Jun 2019
137,57,126,89,3,0,64.04,3,caught,2,v Sri Lanka,Leeds,21 Jun 2019
138,8,16,9,2,0,88.88,3,lbw,2,v Australia,Lord's,25 Jun 2019
139,44,96,54,2,0,81.48,3,caught,1,v India,Birmingham,30 Jun 2019
140,24,54,25,1,0,96.00,3,caught,1,v New Zealand,Chester-le-Street,3 Jul 2019
141,49*,67,46,8,0,106.52,3,not out,2,v Australia,Birmingham,11 Jul 2019
142,7,40,30,0,0,23.33,3,caught,2,v New Zealand,Lord's,14 Jul 2019
143,17,28,21,0,0,80.95,3,run out,1,v South Africa,Cape Town,4 Feb 2020
144,TDNB,-,-,-,-,-,-,-,-,v South Africa,Durban,7 Feb 2020
145,49,88,52,3,0,94.23,3,caught,2,v South Africa,Johannesburg,9 Feb 2020
